phase,step,sim_time_s,commanded_hand_xyz_m,commanded_orientation_wxyz,gripper_closed,measured_hand_xyz_m,measured_orientation_wxyz,measured_joint_positions
right_foot:clear,1567,26.133333333333333,"[0.2800005376338959, -0.15401437878608704, 1.18]","[0.0, 0.6997735607908003, 0.7143647273054319, 0.0]",False,"[[0.27993637323379517, -0.15416482090950012, 1.178228735923767]]","[[-0.002349484246224165, 0.6999756097793579, 0.7141624093055725, -0.0008808420388959348]]","[[2.3749136924743652, -0.8544487357139587, -2.2443039417266846, -1.2114405632019043, -0.6446834802627563, 1.7773984670639038, -0.7271363735198975, 0.03999966010451317, 0.039999719709157944]]"
right_foot:hover,1835,30.6,"[-0.17290084064006805, -0.2681203782558441, 1.18]","[0.0, 0.6997735607908003, 0.7143647273054319, 0.0]",False,"[[-0.16914236545562744, -0.26707765460014343, 1.1795010566711426]]","[[-0.001593495486304164, 0.7002813220024109, 0.7138652205467224, -0.0003727760340552777]]","[[0.2434159815311432, -0.7864428162574768, -0.9736788272857666, -2.622486114501953, -0.698133111000061, 1.996585488319397, -1.0296815633773804, 0.03998804837465286, 0.039988189935684204]]"
right_foot:descend,2165,36.1,"[-0.17290084064006805, -0.2681203782558441, 0.9079999556541443]","[0.0, 0.6997735607908003, 0.7143647273054319, 0.0]",False,"[[-0.1705615371465683, -0.2713313698768616, 0.9129893183708191]]","[[0.006767859682440758, 0.731682300567627, 0.6816115379333496, 0.0010457267053425312]]","[[1.3529562950134277, -0.5695316791534424, -2.4034581184387207, -2.5877044200897217, -1.3191261291503906, 2.763995409011841, -0.5532664656639099, 0.04003546014428139, 0.043397579342126846]]"
right_foot:open_settle,2189,36.5,"[-0.1705615371465683, -0.2713313698768616, 0.9129893183708191]","[0.0, 0.6997735607908003, 0.7143647273054319, 0.0]",False,"[[-0.17124848067760468, -0.27165859937667847, 0.9126079678535461]]","[[-0.0002275624719914049, 0.7274811863899231, 0.6861276030540466, 0.0002440534735796973]]","[[1.3409987688064575, -0.5736826062202454, -2.39127516746521, -2.589151382446289, -1.2980948686599731, 2.7475078105926514, -0.5863127112388611, 0.039924297481775284, 0.03992601856589317]]"
right_foot:close,2249,37.5,"[-0.17124848067760468, -0.27165859937667847, 0.9126079678535461]","[0.0, 0.6997735607908003, 0.7143647273054319, 0.0]",True,"[[-0.17115724086761475, -0.27163660526275635, 0.9126311540603638]]","[[-0.0003150620323140174, 0.7234439253807068, 0.6903812885284424, 0.001584931043908]]","[[1.3254677057266235, -0.5824792981147766, -2.377906560897827, -2.5881426334381104, -1.3054805994033813, 2.739267349243164, -0.5959373116493225, 0.036891549825668335, 0.03703923150897026]]"
right_foot:lift,2443,40.733333333333334,"[-0.17290084064006805, -0.2681203782558441, 1.18]","[0.0, 0.6997735607908003, 0.7143647273054319, 0.0]",True,"[[-0.1728230118751526, -0.2679237425327301, 1.1761844158172607]]","[[-0.0005276312585920095, 0.7020924091339111, 0.712070107460022, 0.0047014616429805756]]","[[0.2024235725402832, -0.7638145685195923, -0.9558867812156677, -2.6377296447753906, -0.670718789100647, 2.029961585998535, -1.0559718608856201, 0.03224540501832962, 0.03231813758611679]]"
right_foot:traverse,2671,44.53333333333333,"[0.28, 0.15, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.2774495482444763, 0.14794564247131348, 1.1781493425369263]]","[[-0.0009287219145335257, 0.7075799107551575, 0.706632673740387, 0.00030588649678975344]]","[[0.6364482641220093, 0.7393047213554382, -0.6480860710144043, -1.2570408582687378, 0.4397296607494354, 1.8566983938217163, -0.7899281978607178, 0.03224339336156845, 0.03232187405228615]]"
right_foot:lower,2821,47.03333333333333,"[0.280089704990387, 0.14682636559009551, 0.9286553382873535]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.2796555757522583, 0.14672991633415222, 0.9279281497001648]]","[[-0.001303997589275241, 0.7081283926963806, 0.7060825824737549, 0.0002303693036083132]]","[[0.5715826749801636, 1.0821601152420044, -0.5161998271942139, -1.3041375875473022, 0.5895705223083496, 2.234147310256958, -0.8623878955841064, 0.032244905829429626, 0.03232181817293167]]"
right_foot:pre_release,2839,47.333333333333336,"[0.2796555757522583, 0.14672991633415222, 0.9279281497001648]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.2793406546115875, 0.14662809669971466, 0.9266853332519531]]","[[-0.0012307630386203527, 0.7072083950042725, 0.707004189491272, 0.0001295653055422008]]","[[0.5723074078559875, 1.084000825881958, -0.5167503952980042, -1.3048428297042847, 0.5914705395698547, 2.23587965965271, -0.8660104274749756, 0.03215818852186203, 0.03236110508441925]]"
right_foot:release,2875,47.93333333333334,"[0.2793406546115875, 0.14662809669971466, 0.9266853332519531]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.2793774902820587, 0.14658942818641663, 0.926580548286438]]","[[-0.00039948755875229836, 0.7064021825790405, 0.7078100442886353, 0.0009379378752782941]]","[[0.5740015506744385, 1.0847185850143433, -0.5188181400299072, -1.3056961297988892, 0.5944463610649109, 2.238356351852417, -0.8697791695594788, 0.03224323317408562, 0.03230493888258934]]"
