phase,step,sim_time_s,commanded_hand_xyz_m,commanded_orientation_wxyz,gripper_closed,measured_hand_xyz_m,measured_orientation_wxyz,measured_joint_positions
right_wall:release,5816,96.94999999999999,"[0.2796423137187958, 0.08872025460004807, 0.9622862339019775]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.27914223074913025, 0.08863282203674316, 0.9606971144676208]]","[[-0.0011252230033278465, 0.7071253061294556, 0.7070838212966919, -0.002239674562588334]]","[[0.5882995128631592, 1.0277330875396729, -0.632369875907898, -1.384001612663269, 0.6689619421958923, 2.188384771347046, -0.991254985332489, 0.03912055492401123, 0.03912056237459183]]"
right_wall:retreat,5936,98.94999999999999,"[0.28050011277198794, 0.0888452365398407, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.2803771197795868, 0.08898992836475372, 1.1763153076171875]]","[[-0.0010807197540998459, 0.7070919871330261, 0.7071170806884766, -0.0022809042129665613]]","[[0.6434370875358582, 0.7589314579963684, -0.7719663977622986, -1.295729160308838, 0.5207832455635071, 1.8474665880203247, -0.9150018692016602, 0.0399995855987072, 0.03999962657690048]]"
right_wall:settle,5972,99.55,"[0.2803771197795868, 0.08898992836475372, 1.1763153076171875]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.28030169010162354, 0.0891457200050354, 1.1747796535491943]]","[[-0.0011035806965082884, 0.7070705890655518, 0.7071384191513062, -0.002292289398610592]]","[[0.6442252397537231, 0.7599309682846069, -0.7716758847236633, -1.298370361328125, 0.5217512845993042, 1.8505595922470093, -0.9155946373939514, 0.039999593049287796, 0.03999963402748108]]"
left_gate_pier:clear,6062,101.05,"[0.28030169010162354, 0.0891457200050354, 1.18]","[0.0, 0.7030318707608467, 0.7111583429128172, 0.0]",False,"[[0.2802276909351349, 0.08931337296962738, 1.1782537698745728]]","[[-0.0011218065628781915, 0.7030960917472839, 0.7110903859138489, -0.0022895068395882845]]","[[0.6433751583099365, 0.7568716406822205, -0.7719839811325073, -1.2934750318527222, 0.5189940333366394, 1.8439637422561646, -0.9247803092002869, 0.03999960795044899, 0.03999964892864227]]"
left_gate_pier:hover,6269,104.5,"[-0.16785557568073273, 0.2672015130519867, 1.18]","[0.0, 0.7030318707608467, 0.7111583429128172, 0.0]",False,"[[-0.16425330936908722, 0.2655865550041199, 1.1794248819351196]]","[[0.00010040959750767797, 0.7025516629219055, 0.7116305232048035, -0.0017988358158618212]]","[[1.3201854228973389, -0.5111591219902039, -0.5488277077674866, -2.6529228687286377, -0.31624966859817505, 2.1788382530212402, 0.21774573624134064, 0.039976198226213455, 0.03997639939188957]]"
left_gate_pier:descend,6420,107.01666666666667,"[-0.16785557568073273, 0.2672015130519867, 0.9629999294281006]","[0.0, 0.7030318707608467, 0.7111583429128172, 0.0]",False,"[[-0.16830360889434814, 0.26699522137641907, 0.9669144749641418]]","[[0.0009169364930130541, 0.7030093669891357, 0.7111786007881165, -0.0014247357612475753]]","[[1.386995792388916, 0.19193477928638458, -0.5152571201324463, -2.755528450012207, 0.39967095851898193, 2.9017632007598877, -0.3069516718387604, 0.039980556815862656, 0.039981160312891006]]"
left_gate_pier:open_settle,6444,107.41666666666666,"[-0.16830360889434814, 0.26699522137641907, 0.9669144749641418]","[0.0, 0.7030318707608467, 0.7111583429128172, 0.0]",False,"[[-0.1686098575592041, 0.26693934202194214, 0.9666059017181396]]","[[0.0006451489171013236, 0.702681303024292, 0.7115035057067871, -0.0012359647080302238]]","[[1.3855394124984741, 0.19264139235019684, -0.5124739408493042, -2.7559266090393066, 0.40391555428504944, 2.9031825065612793, -0.3107593357563019, 0.03998085483908653, 0.039981648325920105]]"
left_gate_pier:close,6504,108.41666666666666,"[-0.1686098575592041, 0.26693934202194214, 0.9666059017181396]","[0.0, 0.7030318707608467, 0.7111583429128172, 0.0]",True,"[[-0.16874580085277557, 0.2668309807777405, 0.966362714767456]]","[[0.00043925209320150316, 0.7030029296875, 0.7111864686012268, -0.0007597390213049948]]","[[1.3865141868591309, 0.19369620084762573, -0.5120135545730591, -2.756096363067627, 0.4103771448135376, 2.9048428535461426, -0.3147253096103668, 0.02680373378098011, 0.026775766164064407]]"
left_gate_pier:lift,6654,110.91666666666666,"[-0.16785557568073273, 0.2672015130519867, 1.18]","[0.0, 0.7030318707608467, 0.7111583429128172, 0.0]",True,"[[-0.16806785762310028, 0.26701945066452026, 1.1767393350601196]]","[[0.0005541043938137591, 0.7025309801101685, 0.7116517424583435, -0.0013406871585175395]]","[[1.335625171661377, -0.5151273012161255, -0.5567946434020996, -2.661651372909546, -0.3254881203174591, 2.1851890087127686, 0.23375900089740753, 0.02683890610933304, 0.026850419119000435]]"
left_gate_pier:traverse,6891,114.86666666666666,"[0.28, -0.044, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.2771095037460327, -0.042001400142908096, 1.1781648397445679]]","[[-0.001580483978614211, 0.7072474956512451, 0.7069584131240845, -0.0028929829131811857]]","[[0.5258020758628845, 0.762822687625885, -0.854138195514679, -1.3364298343658447, 0.5683942437171936, 1.8425776958465576, -1.1252423524856567, 0.026838527992367744, 0.02684519626200199]]"
left_gate_pier:lower,7041,117.36666666666666,"[0.2806438493728638, -0.04435387277603149, 0.9823571825027465]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.2801167964935303, -0.04431493952870369, 0.981389582157135]]","[[-0.001624697120860219, 0.707108736038208, 0.707099437713623, -0.0022592470049858093]]","[[0.461586058139801, 1.0123517513275146, -0.712194561958313, -1.4084677696228027, 0.7204983830451965, 2.145946741104126, -1.2020556926727295, 0.02683834359049797, 0.02684543840587139]]"
left_gate_pier:pre_release,7059,117.66666666666666,"[0.2801167964935303, -0.04431493952870369, 0.981389582157135]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.27977797389030457, -0.04429393261671066, 0.9801977872848511]]","[[-0.001507485518231988, 0.7070869207382202, 0.7071217894554138, -0.002166702412068844]]","[[0.4617995023727417, 1.013363242149353, -0.7114192247390747, -1.4100373983383179, 0.7217090129852295, 2.1485612392425537, -1.203020691871643, 0.026791563257575035, 0.02675863914191723]]"
left_gate_pier:release,7095,118.26666666666667,"[0.27977797389030457, -0.04429393261671066, 0.9801977872848511]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.27932098507881165, -0.04427418112754822, 0.9786612391471863]]","[[-0.001511941198259592, 0.7071171402931213, 0.7070918083190918, -0.002086946042254567]]","[[0.4620720446109772, 1.0147044658660889, -0.710509181022644, -1.4119741916656494, 0.7233799695968628, 2.15151047706604, -1.204167366027832, 0.03932385519146919, 0.03932386264204979]]"
left_gate_pier:retreat,7215,120.26666666666667,"[0.2806438493728638, -0.04435387277603149, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.2805546522140503, -0.04418265447020531, 1.176541805267334]]","[[-0.0014009252190589905, 0.7070908546447754, 0.707118570804596, -0.0020131655037403107]]","[[0.5127177238464355, 0.7762476205825806, -0.8502792716026306, -1.3169077634811401, 0.5756545066833496, 1.8380661010742188, -1.1277576684951782, 0.039999473839998245, 0.03999946638941765]]"
left_gate_pier:settle,7251,120.86666666666666,"[0.2805546522140503, -0.04418265447020531, 1.176541805267334]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.2805095613002777, -0.04401067644357681, 1.1750620603561401]]","[[-0.0014216729905456305, 0.7070720791816711, 0.7071372866630554, -0.002016256330534816]]","[[0.5135138630867004, 0.7772932648658752, -0.849953293800354, -1.3194036483764648, 0.5767093300819397, 1.8409743309020996, -1.1283737421035767, 0.03999948129057884, 0.039999477565288544]]"
right_gate_pier:clear,7341,122.36666666666666,"[0.2805095613002777, -0.04401067644357681, 1.18]","[0.0, 0.7063739976572885, 0.7078388061088916, 0.0]",False,"[[0.28046751022338867, -0.04382709786295891, 1.178320288658142]]","[[-0.0014284055214375257, 0.7063524723052979, 0.7078559994697571, -0.0020154351368546486]]","[[0.5135614275932312, 0.7748705744743347, -0.8518244624137878, -1.3148765563964844, 0.5750271677970886, 1.8345932960510254, -1.1288758516311646, 0.03999951481819153, 0.03999950364232063]]"
right_gate_pier:hover,7576,126.28333333333333,"[-0.17194606363773346, 0.4071790874004364, 1.18]","[0.0, 0.7063739976572885, 0.7078388061088916, 0.0]",False,"[[-0.16926369071006775, 0.40430906414985657, 1.1792995929718018]]","[[0.00039017730159685016, 0.7068410515785217, 0.7073696255683899, -0.001969651086255908]]","[[1.6905183792114258, -0.15361519157886505, -0.6980282068252563, -2.345637321472168, -0.12367108464241028, 2.2198376655578613, 0.2875599265098572, 0.03998753800988197, 0.03998692333698273]]"
right_gate_pier:descend,7726,128.78333333333333,"[-0.17194606363773346, 0.4071790874004364, 0.9629999294281006]","[0.0, 0.7063739976572885, 0.7078388061088916, 0.0]",False,"[[-0.17215882241725922, 0.4068305790424347, 0.9632024168968201]]","[[0.0009362759301438928, 0.7063468098640442, 0.7078639268875122, -0.001423665671609342]]","[[1.5361030101776123, 0.4099583625793457, -0.480392187833786, -2.406872510910034, 0.4757911264896393, 2.729948043823242, -0.1390734314918518, 0.039996616542339325, 0.03999710828065872]]"
right_gate_pier:open_settle,7750,129.18333333333334,"[-0.17215882241725922, 0.4068305790424347, 0.9632024168968201]","[0.0, 0.7063739976572885, 0.7078388061088916, 0.0]",False,"[[-0.17234033346176147, 0.4065406024456024, 0.9626352190971375]]","[[0.0009094887063838542, 0.706283688545227, 0.7079269886016846, -0.0014218604192137718]]","[[1.5352201461791992, 0.410839319229126, -0.4790273904800415, -2.4075777530670166, 0.47751981019973755, 2.731548547744751, -0.14059609174728394, 0.039996445178985596, 0.03999682515859604]]"
right_gate_pier:close,7810,130.18333333333334,"[-0.17234033346176147, 0.4065406024456024, 0.9626352190971375]","[0.0, 0.7063739976572885, 0.7078388061088916, 0.0]",True,"[[-0.17244002223014832, 0.4063212275505066, 0.9621616005897522]]","[[0.0008367833797819912, 0.7062879204750061, 0.7079235315322876, -0.0009900706354528666]]","[[1.5352363586425781, 0.41191044449806213, -0.47844943404197693, -2.408139944076538, 0.48051297664642334, 2.7337350845336914, -0.14288783073425293, 0.026818078011274338, 0.026790013536810875]]"
right_gate_pier:lift,7960,132.68333333333334,"[-0.17194606363773346, 0.4071790874004364, 1.18]","[0.0, 0.7063739976572885, 0.7078388061088916, 0.0]",True,"[[-0.17131328582763672, 0.4064942002296448, 1.1784569025039673]]","[[0.0009474128601141274, 0.7075042128562927, 0.7067073583602905, -0.0013135698391124606]]","[[1.691728115081787, -0.14918310940265656, -0.6936795115470886, -2.345001220703125, -0.12150881439447403, 2.2233827114105225, 0.2935640215873718, 0.0268325787037611, 0.02684011682868004]]"
right_gate_pier:traverse,8178,136.31666666666666,"[0.28, 0.044, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.27738451957702637, 0.04606391489505768, 1.1781973838806152]]","[[-0.0011345655657351017, 0.7075305581092834, 0.7066753506660461, -0.0030511205550283194]]","[[0.6292344331741333, 0.7504720687866211, -0.8220736384391785, -1.3351515531539917, 0.5434291362762451, 1.8500242233276367, -0.9900926351547241, 0.026833530515432358, 0.026838991791009903]]"
right_gate_pier:lower,8328,138.81666666666666,"[0.280727117061615, 0.0431871528327465, 0.978413381576538]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.2801869809627533, 0.04316671937704086, 0.9774464964866638]]","[[-0.0013562191743403673, 0.7070951461791992, 0.7071129083633423, -0.002466175239533186]]","[[0.5636997222900391, 1.0060920715332031, -0.681903600692749, -1.4089492559432983, 0.6949900388717651, 2.1616830825805664, -1.069917917251587, 0.02683340571820736, 0.026839163154363632]]"
right_gate_pier:pre_release,8346,139.11666666666667,"[0.2801869809627533, 0.04316671937704086, 0.9774464964866638]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.27982184290885925, 0.043132562190294266, 0.976222574710846]]","[[-0.0012649291893467307, 0.7070752382278442, 0.7071331739425659, -0.00239842152222991]]","[[0.5638837814331055, 1.0071033239364624, -0.681111216545105, -1.4105868339538574, 0.6961185932159424, 2.164334774017334, -1.0708651542663574, 0.026823000982403755, 0.026805268600583076]]"
right_gate_pier:release,8382,139.71666666666667,"[0.27982184290885925, 0.043132562190294266, 0.976222574710846]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.27935317158699036, 0.04309310391545296, 0.9746747612953186]]","[[-0.001274184905923903, 0.707114577293396, 0.7070942521095276, -0.0022787090856581926]]","[[0.5641217231750488, 1.008425235748291, -0.6801769733428955, -1.4125791788101196, 0.6978225708007812, 2.167424440383911, -1.0720305442810059, 0.039325617253780365, 0.03932562470436096]]"
right_gate_pier:retreat,8502,141.71666666666667,"[0.280727117061615, 0.0431871528327465, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.28061479330062866, 0.04334576055407524, 1.1764912605285645]]","[[-0.0011672216933220625, 0.7070881724357605, 0.7071211338043213, -0.002182685537263751]]","[[0.616716742515564, 0.7623948454856873, -0.8188768029212952, -1.3188894987106323, 0.5501333475112915, 1.8467203378677368, -0.9952533841133118, 0.03999955952167511, 0.0399995818734169]]"
right_gate_pier:settle,8538,142.31666666666666,"[0.28061479330062866, 0.04334576055407524, 1.1764912605285645]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.2805473506450653, 0.043510835617780685, 1.1749989986419678]]","[[-0.001187713467516005, 0.707068920135498, 0.707140326499939, -0.002189524006098509]]","[[0.61749666929245, 0.7634210586547852, -0.8185607194900513, -1.3214178085327148, 0.5511571764945984, 1.8496862649917603, -0.9958531260490417, 0.039999570697546005, 0.039999593049287796]]"
gate_lintel:clear,8628,143.81666666666666,"[0.2805473506450653, 0.043510835617780685, 1.18]","[0.0, 0.7153941041080172, 0.6987211717183668, 0.0]",False,"[[0.28048160672187805, 0.04368751123547554, 1.178307056427002]]","[[-0.001167647889815271, 0.7151329517364502, 0.6989840269088745, -0.0022011613473296165]]","[[0.6196759343147278, 0.7626020312309265, -0.824164092540741, -1.3165885210037231, 0.5525345802307129, 1.8421639204025269, -0.9727386832237244, 0.03999960049986839, 0.03999963030219078]]"
gate_lintel:hover,8808,146.81666666666666,"[-0.026201728731393814, -0.4054638743400574, 1.18]","[0.0, 0.7153941041080172, 0.6987211717183668, 0.0]",False,"[[-0.025594059377908707, -0.40431249141693115, 1.1793582439422607]]","[[-0.0012637722538784146, 0.7151097059249878, 0.6990107297897339, -0.0007764370529912412]]","[[0.3160761594772339, 0.339266300201416, -1.1662570238113403, -2.0098702907562256, 0.363711416721344, 2.11487078666687, -1.7864800691604614, 0.03999516740441322, 0.03999459743499756]]"
gate_lintel:descend,9138,152.31666666666666,"[-0.026201728731393814, -0.4054638743400574, 0.9079999556541443]","[0.0, 0.7153941041080172, 0.6987211717183668, 0.0]",False,"[[-0.024220867082476616, -0.4060211181640625, 0.9124500155448914]]","[[1.397998130414635e-05, 0.7171019911766052, 0.6969681978225708, -0.0003292557958047837]]","[[-0.17619892954826355, 0.7779530882835388, -0.5634933114051819, -2.0081145763397217, 0.7594272494316101, 2.566875696182251, -2.028900384902954, 0.03703666105866432, 0.04184717684984207]]"
gate_lintel:open_settle,9162,152.71666666666667,"[-0.024220867082476616, -0.4060211181640625, 0.9124500155448914]","[0.0, 0.7153941041080172, 0.6987211717183668, 0.0]",False,"[[-0.02434913069009781, -0.406168669462204, 0.9125516414642334]]","[[0.00017202571325469762, 0.7074947357177734, 0.7067185640335083, -0.00045981755829416215]]","[[-0.17390719056129456, 0.7789488434791565, -0.5661576390266418, -2.0079452991485596, 0.7622983455657959, 2.5659501552581787, -2.0582275390625, 0.03718699514865875, 0.03829978033900261]]"
gate_lintel:close,9222,153.71666666666667,"[-0.02434913069009781, -0.406168669462204, 0.9125516414642334]","[0.0, 0.7153941041080172, 0.6987211717183668, 0.0]",True,"[[-0.02446804568171501, -0.40622156858444214, 0.9125543236732483]]","[[-1.2790769687853754e-06, 0.7073977589607239, 0.7068157196044922, -0.00022069501574151218]]","[[-0.1664131134748459, 0.7825759053230286, -0.5741628408432007, -2.00691556930542, 0.7722256183624268, 2.5612614154815674, -2.0646181106567383, 0.037298500537872314, 0.038194429129362106]]"
gate_lintel:lift,9372,156.21666666666667,"[-0.026201728731393814, -0.4054638743400574, 1.18]","[0.0, 0.7153941041080172, 0.6987211717183668, 0.0]",True,"[[-0.026078134775161743, -0.40501168370246887, 1.1781117916107178]]","[[-0.0021854452788829803, 0.7136135101318359, 0.7005283832550049, -0.0033125148620456457]]","[[0.17617842555046082, 0.2630533277988434, -1.003262996673584, -2.0160293579101562, 0.2553677260875702, 2.1403563022613525, -1.7188010215759277, 0.026773907244205475, 0.026778684929013252]]"
gate_lintel:traverse,9552,159.21666666666667,"[0.28, 0.0, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.2793184518814087, -0.0005897918017581105, 1.1782320737838745]]","[[-0.0011110330233350396, 0.70662522315979, 0.707580029964447, -0.0031949677504599094]]","[[0.46717366576194763, 0.6913707852363586, -0.6622838973999023, -1.3409298658370972, 0.42130494117736816, 1.8849292993545532, -1.000596523284912, 0.026772093027830124, 0.026777055114507675]]"
gate_lintel:lower,9702,161.71666666666667,"[0.2806465613842011, -0.00031520353513769805, 1.0019246320724486]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.2801109552383423, -0.0003809010377153754, 1.0008118152618408]]","[[-0.0004774777917191386, 0.7058831453323364, 0.7083138823509216, -0.004500418435782194]]","[[0.42253828048706055, 0.905124306678772, -0.5572624802589417, -1.4378330707550049, 0.5267105102539062, 2.183981418609619, -1.0599267482757568, 0.02677222155034542, 0.0267772413790226]]"
gate_lintel:pre_release,9720,162.01666666666668,"[0.2801109552383423, -0.0003809010377153754, 1.0008118152618408]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.27976906299591064, -0.0004268446355126798, 0.9995948076248169]]","[[-0.0004299650900065899, 0.7059387564659119, 0.708260178565979, -0.004227291792631149]]","[[0.4216375946998596, 0.9055177569389343, -0.5552125573158264, -1.4398232698440552, 0.5267357230186462, 2.187382698059082, -1.0602240562438965, 0.026796933263540268, 0.026766305789351463]]"
gate_lintel:release,9756,162.61666666666667,"[0.27976906299591064, -0.0004268446355126798, 0.9995948076248169]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.27932679653167725, -0.00041610823245719075, 0.9980133771896362]]","[[-0.001254948670975864, 0.7068336606025696, 0.7073736786842346, -0.0026646133046597242]]","[[0.42071473598480225, 0.9061852097511292, -0.5530623197555542, -1.442325472831726, 0.5309083461761475, 2.19122052192688, -1.0607447624206543, 0.039324235171079636, 0.03932424262166023]]"
gate_lintel:retreat,9876,164.61666666666667,"[0.2806465613842011, -0.00031520353513769805, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.2805396616458893, -0.0001512852031737566, 1.1766492128372192]]","[[-0.0014186459593474865, 0.7070616483688354, 0.7071473002433777, -0.002160755218937993]]","[[0.4581727087497711, 0.6932403445243835, -0.6500471830368042, -1.3366700410842896, 0.41773685812950134, 1.8879798650741577, -0.9961512088775635, 0.039999477565288544, 0.03999948501586914]]"
gate_lintel:settle,9912,165.21666666666667,"[0.2805396616458893, -0.0001512852031737566, 1.1766492128372192]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.2804740369319916, 1.5149882528930902e-05, 1.1750966310501099]]","[[-0.0014400082873180509, 0.7070468664169312, 0.7071619033813477, -0.00216805562376976]]","[[0.4588485658168793, 0.6941840648651123, -0.6497943997383118, -1.3393499851226807, 0.41859501600265503, 1.891223669052124, -0.9966257214546204, 0.03999948129057884, 0.03999949246644974]]"
left_lower:clear,10002,166.71666666666667,"[0.2804740369319916, 1.5149882528930902e-05, 1.18]","[0.0, 0.7044952613257142, 0.7097086914851851, 0.0]",False,"[[0.2804099917411804, 0.000193170431884937, 1.1782441139221191]]","[[-0.0014527621679008007, 0.7044986486434937, 0.7097005844116211, -0.0021652362775057554]]","[[0.4585570693016052, 0.6915415525436401, -0.6503384113311768, -1.3350834846496582, 0.41658657789230347, 1.8850258588790894, -1.002257227897644, 0.03999950364232063, 0.03999950736761093]]"
left_lower:hover,10182,169.71666666666667,"[-0.027254300191998482, -0.26897624135017395, 1.18]","[0.0, 0.7044952613257142, 0.7097086914851851, 0.0]",False,"[[-0.027329202741384506, -0.26909545063972473, 1.1794922351837158]]","[[-0.0010643999557942152, 0.70585697889328, 0.7083532810211182, -0.0007395136053673923]]","[[0.42908981442451477, -0.18342573940753937, -0.987153947353363, -2.3241138458251953, -0.19211584329605103, 2.210878372192383, -1.2231568098068237, 0.039997559040784836, 0.03999827057123184]]"
left_lower:descend,10332,172.21666666666667,"[-0.027254300191998482, -0.26897624135017395, 0.9339999670982361]","[0.0, 0.7044952613257142, 0.7097086914851851, 0.0]",False,"[[-0.027667611837387085, -0.2687615752220154, 0.9358271956443787]]","[[-0.001567055587656796, 0.7045921683311462, 0.7096098065376282, -0.0011894062627106905]]","[[0.09260377287864685, 0.5452649593353271, -0.5710582137107849, -2.345395088195801, 0.7340840101242065, 2.7115283012390137, -1.8901962041854858, 0.039988499134778976, 0.03998963534832001]]"
left_lower:open_settle,10356,172.61666666666667,"[-0.027667611837387085, -0.2687615752220154, 0.9358271956443787]","[0.0, 0.7044952613257142, 0.7097086914851851, 0.0]",False,"[[-0.02798965945839882, -0.2686102092266083, 0.9352747201919556]]","[[-0.0014297579182311893, 0.7044654488563538, 0.7097361087799072, -0.0010673911310732365]]","[[0.09123361855745316, 0.5459299683570862, -0.5691472887992859, -2.345978260040283, 0.7363013029098511, 2.713313102722168, -1.892466425895691, 0.03998758643865585, 0.03998856619000435]]"
left_lower:close,10416,173.61666666666667,"[-0.02798965945839882, -0.2686102092266083, 0.9352747201919556]","[0.0, 0.7044952613257142, 0.7097086914851851, 0.0]",True,"[[-0.028255384415388107, -0.2685483396053314, 0.9348351359367371]]","[[-0.0009145549265667796, 0.7043973207473755, 0.7098046541213989, -0.0009819269180297852]]","[[0.09069512784481049, 0.5468102097511292, -0.5680363178253174, -2.346402406692505, 0.7395604848861694, 2.7154123783111572, -1.895331621170044, 0.026842063292860985, 0.026825817301869392]]"
left_lower:lift,10566,176.11666666666667,"[-0.027254300191998482, -0.26897624135017395, 1.18]","[0.0, 0.7044952613257142, 0.7097086914851851, 0.0]",True,"[[-0.027879556640982628, -0.2694651186466217, 1.1766033172607422]]","[[-0.001246422529220581, 0.7046189308166504, 0.7095839977264404, -0.001135790953412652]]","[[0.4377951920032501, -0.18018846213817596, -0.9981715083122253, -2.328320264816284, -0.1920280009508133, 2.218010663986206, -1.2281882762908936, 0.02684003673493862, 0.026848802343010902]]"
left_lower:traverse,10746,179.11666666666667,"[0.28, -0.15, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.2788779139518738, -0.15021878480911255, 1.178109049797058]]","[[-0.002248533768579364, 0.7070602774620056, 0.7071470022201538, -0.00200384552590549]]","[[0.24776382744312286, 0.7641220092773438, -0.6926506161689758, -1.2368402481079102, 0.47392919659614563, 1.8348233699798584, -1.2134658098220825, 0.02684042975306511, 0.02684848941862583]]"
left_lower:lower,10896,181.61666666666667,"[0.2807109045982361, -0.14954088032245635, 0.968970232963562]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.28012919425964355, -0.14945939183235168, 0.9678915143013]]","[[-0.0021702535450458527, 0.7071297764778137, 0.7070775032043457, -0.002054294105619192]]","[[0.206344872713089, 1.0253994464874268, -0.577540397644043, -1.325196623802185, 0.6001243591308594, 2.1703009605407715, -1.27659010887146, 0.02684032917022705, 0.026848606765270233]]"
left_lower:pre_release,10914,181.91666666666669,"[0.28012919425964355, -0.14945939183235168, 0.9678915143013]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.27974584698677063, -0.1494200974702835, 0.966606080532074]]","[[-0.00200921343639493, 0.7071117162704468, 0.7070963382720947, -0.0019764923490583897]]","[[0.20653536915779114, 1.026381254196167, -0.5768325924873352, -1.327075719833374, 0.6011263132095337, 2.173344373703003, -1.2775248289108276, 0.02685169130563736, 0.026833122596144676]]"
left_lower:release,10950,182.51666666666668,"[0.27974584698677063, -0.1494200974702835, 0.966606080532074]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.27924156188964844, -0.14934390783309937, 0.9649428129196167]]","[[-0.0019932056311517954, 0.7071390151977539, 0.7070693373680115, -0.0018745512934401631]]","[[0.20679566264152527, 1.0277146100997925, -0.5759974718093872, -1.3293375968933105, 0.602619469165802, 2.176776647567749, -1.278656244277954, 0.03932713717222214, 0.039327140897512436]]"
left_lower:retreat,11070,184.51666666666668,"[0.2807109045982361, -0.14954088032245635, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.2806437015533447, -0.14938001334667206, 1.1762577295303345]]","[[-0.001886530313640833, 0.7070987820625305, 0.7071099281311035, -0.0018256575567647815]]","[[0.24617187678813934, 0.7715173363685608, -0.6917504072189331, -1.2293344736099243, 0.47735416889190674, 1.835123062133789, -1.2118873596191406, 0.039999544620513916, 0.03999949246644974]]"
left_lower:settle,11106,185.11666666666667,"[0.2806437015533447, -0.14938001334667206, 1.1762577295303345]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.2806278169155121, -0.1492246389389038, 1.174628734588623]]","[[-0.0019157500937581062, 0.7070798873901367, 0.7071287035942078, -0.0018285055411979556]]","[[0.24700774252414703, 0.7724509835243225, -0.6915201544761658, -1.2322663068771362, 0.47821521759033203, 1.8384979963302612, -1.2124674320220947, 0.03999955952167511, 0.03999951854348183]]"
right_lower:clear,11196,186.61666666666667,"[0.2806278169155121, -0.1492246389389038, 1.18]","[0.0, 0.6982632800165336, 0.7158410380667987, 0.0]",False,"[[0.28061729669570923, -0.1490599662065506, 1.1781505346298218]]","[[-0.001945872325450182, 0.6984642744064331, 0.7156400084495544, -0.0018080056179314852]]","[[0.2447366863489151, 0.7690391540527344, -0.6895378828048706, -1.2269521951675415, 0.47423216700553894, 1.8319482803344727, -1.2341338396072388, 0.03999961540102959, 0.03999955579638481]]"
right_lower:hover,11376,189.61666666666667,"[-0.02430768869817257, -0.13569793105125427, 1.18]","[0.0, 0.6982632800165336, 0.7158410380667987, 0.0]",False,"[[-0.021246740594506264, -0.13570821285247803, 1.1793996095657349]]","[[-0.001171519630588591, 0.697693943977356, 0.7163939476013184, -0.0012479072902351618]]","[[0.5280086398124695, -0.37318292260169983, -0.8200281858444214, -2.4829390048980713, -0.3350667357444763, 2.191232681274414, -0.8675916194915771, 0.0399927981197834, 0.03999288007616997]]"
right_lower:descend,11544,192.41666666666669,"[-0.02430768869817257, -0.13569793105125427, 0.9339999670982361]","[0.0, 0.6982632800165336, 0.7158410380667987, 0.0]",False,"[[-0.024764517322182655, -0.13558891415596008, 0.9379072785377502]]","[[-0.0011708681704476476, 0.698501706123352, 0.7156053185462952, -0.0017482193652540445]]","[[0.34058618545532227, 0.42615121603012085, -0.5231987833976746, -2.528965473175049, 0.7185797095298767, 2.8247244358062744, -1.6468288898468018, 0.03998330235481262, 0.03998424485325813]]"
